unix_ts,phase,cpu_pct,mem_mb
1786245250.0,baseline,0.0,6.2
1786245252.1,baseline,0.0,6.2
1786245254.1,baseline,0.0,6.2
1786245256.2,ingest,115.9,147.2
1786245258.3,ingest,117.9,269.3
1786245260.3,ingest,216.2,804.7
1786245262.4,hosts,40.7,475.5
1786245264.4,query_a,146.7,1514.0
1786245266.4,query_a,150.0,1923.1
1786245268.5,query_a,152.0,2213.0
1786245270.5,settle,165.6,2141.0
1786245272.6,settle,0.0,2141.0
1786245274.6,settle,0.0,2141.0
1786245276.6,settle,0.0,2141.0
1786245278.7,settle,0.0,2141.0
