unix_ts,phase,cpu_pct,mem_mb
1786254043.2,baseline,0.0,6.7
1786254045.3,baseline,0.0,6.2
1786254047.4,baseline,0.0,6.2
1786254049.4,ingest,118.6,138.9
1786254051.4,ingest,115.1,253.9
1786254053.5,ingest,205.1,776.5
1786254055.7,hosts,28.4,503.4
1786254057.6,hosts,17.2,616.5
1786254059.7,query_a,91.7,1343.3
1786254061.7,query_a,79.7,1648.2
1786254063.8,query_a,95.3,1859.7
1786254065.8,query_b,33.6,1757.7
1786254067.9,settle,72.4,1883.3
1786254069.9,settle,0.0,1883.3
1786254071.9,settle,0.0,1883.3
1786254074.0,settle,0.0,1889.8
1786254076.0,settle,0.0,1889.8
