unix_ts,phase,cpu_pct,mem_mb
1786254011.9,baseline,0.0,6.2
1786254014.0,baseline,0.0,6.2
1786254016.0,baseline,0.0,6.2
1786254018.1,ingest,125.1,150.8
1786254020.1,ingest,107.7,258.6
1786254022.1,ingest,214.6,780.5
1786254024.3,hosts,28.8,484.8
1786254026.3,query_a,148.0,1350.8
1786254028.3,query_a,151.9,1770.6
1786254030.4,query_a,152.7,2040.1
1786254032.4,settle,192.4,2001.5
1786254034.5,settle,0.0,2000.4
1786254036.5,settle,0.0,2000.4
1786254038.6,settle,0.0,2000.4
1786254040.6,settle,0.0,2000.4
