test,run,ms,rows,status,error
B2_funnel_48h,3,816,,ERROR,"HTTP 400: {""error"":""Execution error: query memory budget exceeded loading poc/pipeline_events/data/2026080621/01786053599987194824-000105.parquet: Resources exhausted: Failed to allocate additional 364.8 KB for lazy-table-load with 3.0 GB already allocated for this reservation - 222.8 KB remain available for "
B3_inflight_24h,1,872,,ERROR,"HTTP 400: {""error"":""Execution error: query memory budget exceeded loading poc/pipeline_events/data/2026080805/01786168799996575816-000284.parquet: Resources exhausted: Failed to allocate additional 436.4 KB for lazy-table-load with 3.0 GB already allocated for this reservation - 393.3 KB remain available for "
B3_inflight_24h,2,939,,ERROR,"HTTP 400: {""error"":""Execution error: query memory budget exceeded loading poc/pipeline_events/data/2026080805/01786168799996575816-000284.parquet: Resources exhausted: Failed to allocate additional 436.4 KB for lazy-table-load with 3.0 GB already allocated for this reservation - 393.3 KB remain available for "
B3_inflight_24h,3,887,,ERROR,"HTTP 400: {""error"":""Execution error: query memory budget exceeded loading poc/pipeline_events/data/2026080805/01786168799996575816-000284.parquet: Resources exhausted: Failed to allocate additional 436.4 KB for lazy-table-load with 3.0 GB already allocated for this reservation - 393.3 KB remain available for "
B4_hourly_throughput_48h,1,1315,,ERROR,"HTTP 400: {""error"":""Execution error: query memory budget exceeded loading poc/pipeline_events/data/2026080621/01786053599987194824-000105.parquet: Resources exhausted: Failed to allocate additional 364.8 KB for lazy-table-load with 3.0 GB already allocated for this reservation - 222.8 KB remain available for "
B4_hourly_throughput_48h,2,1155,,ERROR,"HTTP 400: {""error"":""Execution error: query memory budget exceeded loading poc/pipeline_events/data/2026080621/01786053599987194824-000105.parquet: Resources exhausted: Failed to allocate additional 364.8 KB for lazy-table-load with 3.0 GB already allocated for this reservation - 222.8 KB remain available for "
B4_hourly_throughput_48h,3,815,,ERROR,"HTTP 400: {""error"":""Execution error: query memory budget exceeded loading poc/pipeline_events/data/2026080621/01786053599987194824-000105.parquet: Resources exhausted: Failed to allocate additional 364.8 KB for lazy-table-load with 3.0 GB already allocated for this reservation - 222.8 KB remain available for "
B5_route_rollup_24h,1,882,,ERROR,"HTTP 400: {""error"":""Execution error: query memory budget exceeded loading poc/pipeline_events/data/2026080805/01786168799996575816-000284.parquet: Resources exhausted: Failed to allocate additional 436.4 KB for lazy-table-load with 3.0 GB already allocated for this reservation - 393.3 KB remain available for "
B5_route_rollup_24h,2,876,,ERROR,"HTTP 400: {""error"":""Execution error: query memory budget exceeded loading poc/pipeline_events/data/2026080805/01786168799996575816-000284.parquet: Resources exhausted: Failed to allocate additional 436.4 KB for lazy-table-load with 3.0 GB already allocated for this reservation - 393.3 KB remain available for "
B5_route_rollup_24h,3,876,,ERROR,"HTTP 400: {""error"":""Execution error: query memory budget exceeded loading poc/pipeline_events/data/2026080805/01786168799996575816-000284.parquet: Resources exhausted: Failed to allocate additional 436.4 KB for lazy-table-load with 3.0 GB already allocated for this reservation - 393.3 KB remain available for "
