unix_ts,phase,cpu_pct,mem_mb
1786261784.6,baseline,0.0,6.2
1786261786.6,baseline,0.0,6.2
1786261788.7,baseline,0.0,6.2
1786261790.8,ingest,106.0,139.5
1786261792.8,ingest,100.5,247.5
1786261794.8,ingest,207.6,725.9
1786261797.0,hosts,58.3,438.5
1786261798.9,query_a,149.5,923.9
1786261801.0,query_a,159.2,1989.6
1786261803.0,query_a,140.6,2448.1
1786261805.0,settle,236.6,2496.4
1786261807.0,settle,0.0,2459.9
1786261809.1,settle,0.0,2459.9
1786261811.2,settle,0.0,2459.9
1786261813.2,settle,0.0,2459.9
