unix_ts,phase,cpu_pct,mem_mb
1786252753.4,baseline,0.0,6.5
1786252755.4,baseline,0.0,6.2
1786252757.5,baseline,0.0,6.2
1786252759.5,ingest,117.3,166.4
1786252761.5,ingest,75.8,253.0
1786252763.6,ingest,77.6,528.6
1786252765.7,ingest,38.4,584.3
1786252767.8,ingest,52.7,470.4
1786252769.9,hosts,49.1,498.1
1786252771.8,hosts,46.4,546.7
1786252773.9,hosts,75.1,613.4
1786252775.9,query_a,31.0,616.7
1786252778.0,query_a,25.7,643.3
1786252780.0,query_a,25.5,643.8
1786252782.1,query_b,501.0,1310.0
1786252784.1,settle,10.2,1318.6
1786252786.2,settle,0.0,1318.6
1786252788.2,settle,0.0,1318.6
1786252790.2,settle,0.0,1318.6
1786252792.3,settle,6.2,1318.6
