test,run,ms,rows,status,error
B1_funnel_24h,3,752,,ERROR,"HTTP 400: {""error"":""Execution error: query memory budget exceeded loading poc/pipeline_events/data/2026080812/01786193999957330256-000189.parquet: Resources exhausted: Failed to allocate additional 317.8 KB for lazy-table-load with 3.0 GB already allocated for this reservation - 233.6 KB remain available for "
B2_funnel_48h,1,703,,ERROR,"HTTP 400: {""error"":""Execution error: query memory budget exceeded loading poc/pipeline_events/data/2026080806/01786172399991414231-000087.parquet: Resources exhausted: Failed to allocate additional 404.9 KB for lazy-table-load with 3.0 GB already allocated for this reservation - 389.9 KB remain available for "
B2_funnel_48h,2,711,,ERROR,"HTTP 400: {""error"":""Execution error: query memory budget exceeded loading poc/pipeline_events/data/2026080806/01786172399991414231-000087.parquet: Resources exhausted: Failed to allocate additional 404.9 KB for lazy-table-load with 3.0 GB already allocated for this reservation - 389.9 KB remain available for "
B2_funnel_48h,3,974,,ERROR,"HTTP 400: {""error"":""Execution error: query memory budget exceeded loading poc/pipeline_events/data/2026080806/01786172399991414231-000087.parquet: Resources exhausted: Failed to allocate additional 404.9 KB for lazy-table-load with 3.0 GB already allocated for this reservation - 389.9 KB remain available for "
B3_inflight_24h,1,2326,,ERROR,"HTTP 400: {""error"":""Resources exhausted: Failed to allocate additional 217.2 KB for GroupedHashAggregateStream[20] (sum(CASE WHEN pipeline_events.event = start THEN 1 ELSE 0 END) as sum(CASE WHEN pipeline_events.event = Utf8(\""start\"") THEN Int64(1) ELSE Int64(0) END), sum(CASE WHEN pipeline_events.event = st"
B3_inflight_24h,2,2628,,ERROR,"HTTP 400: {""error"":""Resources exhausted: Failed to allocate additional 217.2 KB for GroupedHashAggregateStream[20] (sum(CASE WHEN pipeline_events.event = start THEN 1 ELSE 0 END) as sum(CASE WHEN pipeline_events.event = Utf8(\""start\"") THEN Int64(1) ELSE Int64(0) END), sum(CASE WHEN pipeline_events.event = st"
B3_inflight_24h,3,3547,,ERROR,"HTTP 400: {""error"":""Resources exhausted: Failed to allocate additional 217.2 KB for GroupedHashAggregateStream[20] (sum(CASE WHEN pipeline_events.event = start THEN 1 ELSE 0 END) as sum(CASE WHEN pipeline_events.event = Utf8(\""start\"") THEN Int64(1) ELSE Int64(0) END), sum(CASE WHEN pipeline_events.event = st"
B4_hourly_throughput_48h,1,5681,,ERROR,"HTTP 400: {""error"":""Resources exhausted: Failed to allocate additional 284.1 KB for GroupedHashAggregateStream[23] (count(1)) with 0.0 B already allocated for this reservation - 194.0 KB remain available for the total memory pool: fair(pool_size: 3.0 GB)""}"
B4_hourly_throughput_48h,2,5304,,ERROR,"HTTP 400: {""error"":""Resources exhausted: Failed to allocate additional 289.7 KB for GroupedHashAggregateStream[22] (count(1)) with 0.0 B already allocated for this reservation - 203.3 KB remain available for the total memory pool: fair(pool_size: 3.0 GB)""}"
B4_hourly_throughput_48h,3,6866,,ERROR,"HTTP 400: {""error"":""Resources exhausted: Failed to allocate additional 284.1 KB for GroupedHashAggregateStream[23] (count(1)) with 0.0 B already allocated for this reservation - 190.3 KB remain available for the total memory pool: fair(pool_size: 3.0 GB)""}"
B5_route_rollup_24h,1,917,,ERROR,"HTTP 400: {""error"":""Execution error: query memory budget exceeded loading poc/pipeline_events/data/2026080718/c01786129199999753411-000192.parquet: Resources exhausted: Failed to allocate additional 1313.7 KB for lazy-table-load with 3.0 GB already allocated for this reservation - 258.1 KB remain available fo"
B5_route_rollup_24h,2,1219,,ERROR,"HTTP 400: {""error"":""Execution error: query memory budget exceeded loading poc/pipeline_events/data/2026080718/c01786129199999753411-000192.parquet: Resources exhausted: Failed to allocate additional 1313.7 KB for lazy-table-load with 3.0 GB already allocated for this reservation - 890.5 KB remain available fo"
B5_route_rollup_24h,3,2367,,ERROR,"HTTP 400: {""error"":""Execution error: query memory budget exceeded loading poc/pipeline_events/data/2026080718/c01786129199999753411-000192.parquet: Resources exhausted: Failed to allocate additional 1313.7 KB for lazy-table-load with 3.0 GB already allocated for this reservation - 738.4 KB remain available fo"
