unix_ts,phase,cpu_pct,mem_mb
1786146613.9,ingest,17.3,2205.5
1786146616.0,ingest,13.7,2211.9
1786146618.0,ingest,14.3,2239.8
1786146620.0,ingest,14.0,2242.0
1786146622.0,ingest,15.3,2230.2
1786146624.0,ingest,17.7,2254.9
1786146626.1,ingest,16.7,2275.3
1786146628.1,ingest,14.3,2297.8
1786146630.1,ingest,13.9,2293.5
1786146632.1,ingest,13.9,2311.8
1786146634.1,ingest,18.0,2291.4
1786146636.2,ingest,13.8,2291.4
1786146638.2,ingest,13.8,2326.8
1786146640.2,ingest,13.6,2327.9
1786146642.2,ingest,13.3,2338.6
1786146644.3,ingest,15.3,2353.6
1786146646.3,ingest,15.7,2337.5
1786146648.3,ingest,15.9,2348.3
1786146650.3,ingest,13.7,2352.6
1786146652.3,ingest,16.2,2335.4
1786146654.4,ingest,15.8,2334.3
1786146656.4,ingest,13.8,2349.3
1786146658.4,ingest,13.9,2369.7
1786146660.4,ingest,13.2,2376.2
1786146662.4,ingest,13.8,2384.8
1786146664.5,ingest,14.9,2373.0
1786146666.5,ingest,13.3,2368.7
1786146668.5,ingest,13.3,2382.6
1786146670.5,ingest,13.5,2397.7
1786146672.5,ingest,13.3,2413.8
1786146674.6,ingest,15.3,2395.5
1786146676.6,ingest,12.9,2413.8
1786146678.6,ingest,13.5,2417.0
1786146680.6,ingest,13.2,2411.6
1786146682.6,ingest,15.4,2429.9
1786146684.7,ingest,16.1,2429.9
1786146686.7,ingest,13.0,2453.5
1786146688.7,ingest,13.5,2457.8
1786146690.7,ingest,13.2,2457.8
1786146692.7,ingest,15.6,2471.8
1786146694.8,ingest,19.7,2458.9
1786146696.8,ingest,14.3,2482.5
1786146698.8,ingest,13.1,2480.3
1786146700.8,ingest,13.4,2495.4
1786146702.8,ingest,14.8,2517.9
1786146704.9,ingest,15.6,2511.5
1786146706.9,ingest,13.2,2512.6
1786146708.9,ingest,12.7,2514.7
1786146710.9,ingest,13.3,2541.5
1786146712.9,ingest,15.4,2558.7
1786146715.0,ingest,15.2,2551.2
1786146717.0,ingest,12.7,2561.9
1786146719.0,ingest,14.2,2555.5
1786146721.0,ingest,14.9,2566.2
1786146723.0,ingest,15.0,2561.9
1786146725.1,ingest,17.6,2585.6
1786146727.1,ingest,14.5,2604.9
1786146729.1,ingest,15.9,2622.1
1786146731.2,ingest,14.7,2628.5
1786146733.2,ingest,16.8,2635.0
1786146735.2,ingest,16.4,2648.9
1786146737.2,ingest,12.8,2664.0
1786146739.2,ingest,13.4,2624.2
1786146741.3,ingest,13.6,2643.6
1786146743.3,ingest,15.9,2661.8
1786146745.3,ingest,12.6,2665.0
1786146747.3,ingest,13.3,2675.8
1786146749.3,ingest,13.7,2669.3
1786146751.4,ingest,13.9,2668.2
1786146753.4,ingest,14.2,2676.8
1786146755.4,ingest,12.7,2696.2
1786146757.4,ingest,12.9,2702.6
1786146759.4,ingest,13.6,2705.8
1786146761.5,ingest,13.9,2718.7
1786146763.5,ingest,14.8,2723.0
1786146765.5,ingest,15.9,2742.3
1786146767.5,ingest,14.4,2768.1
1786146769.6,ingest,14.8,2820.7
1786146771.6,ingest,15.0,2834.7
1786146773.6,ingest,15.1,2847.6
1786146775.6,ingest,15.4,2846.5
1786146777.6,ingest,13.4,2847.6
1786146779.7,ingest,15.3,2870.1
1786146781.7,ingest,13.8,2871.2
1786146783.7,ingest,14.9,2887.3
1786146785.8,ingest,16.0,2887.3
1786146787.8,ingest,13.3,2903.4
1786146789.8,ingest,14.9,2936.7
1786146791.8,ingest,12.9,2946.3
1786146793.8,hosts,17.8,2966.7
1786146795.9,hosts,13.3,3001.1
1786146797.9,hosts,13.0,3026.9
1786146799.9,hosts,12.5,3014.0
1786146801.9,hosts,12.6,3021.5
1786146803.9,hosts,14.8,3022.6
1786146806.0,query_a,267.7,4089.9
1786146808.0,query_a,129.7,4423.8
1786146810.0,query_a,109.7,6862.3
1786146812.0,query_a,117.8,7485.1
1786146814.0,query_a,121.6,7471.1
1786146816.1,query_b,333.8,7529.1
1786146818.1,query_b,102.4,7378.8
1786146820.1,query_b,601.5,4538.7
1786146822.1,query_b,102.3,5154.0
1786146824.1,query_b,108.3,5096.0
1786146826.2,query_b,104.0,4970.4
1786146828.2,query_b,103.2,5075.6
1786146830.2,query_b,1042.1,5945.3
1786146832.2,query_b,102.8,6166.5
1786146834.2,query_b,124.2,6224.5
1786146836.3,query_b,102.3,6301.8
1786146838.3,query_b,102.2,6373.7
1786146840.3,query_b,102.3,6442.5
1786146842.3,query_b,426.3,5759.6
1786146844.3,query_b,518.4,6495.1
1786146846.4,query_b,101.6,6730.2
1786146848.4,query_b,102.2,6642.2
1786146850.4,query_b,102.5,6717.3
1786146852.4,query_b,101.9,6788.2
1786146854.5,query_b,106.6,6860.1
1786146856.5,query_b,1310.9,6153.6
1786146858.5,query_b,102.7,6555.2
1786146860.5,query_b,101.6,6593.8
1786146862.5,query_b,102.0,6669.0
1786146864.6,query_b,106.5,6749.5
1786146866.6,query_b,102.4,6643.2
1786146868.6,query_b,1098.4,5711.2
1786146870.6,query_b,106.2,5698.3
1786146872.6,query_b,105.9,5687.6
1786146874.7,query_b,110.4,5661.8
1786146876.7,query_b,106.4,4247.7
1786146878.7,query_b,105.9,4951.0
1786146880.7,query_b,106.4,4948.9
1786146882.8,query_b,106.6,4918.8
1786146884.8,query_b,109.2,4752.4
1786146886.8,query_b,106.3,5138.9
1786146888.8,query_b,105.8,5138.9
1786146890.9,query_b,106.0,5138.9
1786146892.9,query_b,105.1,5198.0
1786146894.9,query_b,107.4,6754.9
1786146896.9,query_b,104.6,6728.1
1786146898.9,query_b,105.7,6720.6
1786146901.0,query_b,104.6,6719.5
1786146903.0,query_b,104.4,6704.4
1786146905.0,query_b,107.9,6705.5
1786146907.0,query_b,104.7,6638.9
1786146909.1,query_b,104.6,6636.8
1786146911.1,query_b,105.1,6640.0
1786146913.1,query_b,105.2,6636.8
1786146915.1,query_b,103.8,6480.0
1786146917.2,query_b,104.3,6762.4
1786146919.2,query_b,104.5,6871.9
1786146921.2,query_b,103.9,6747.4
1786146923.2,query_b,104.2,6642.2
1786146925.2,query_b,104.1,6608.9
1786146927.3,query_b,104.3,6608.9
1786146929.3,query_b,103.3,6594.9
1786146931.3,query_b,104.9,6594.9
1786146933.3,query_b,103.8,6596.0
1786146935.3,query_b,105.0,6599.2
1786146937.4,query_b,104.2,6599.2
1786146939.4,query_b,796.8,6855.8
1786146941.4,query_b,104.9,6991.1
1786146943.4,query_b,104.6,6990.1
1786146945.4,query_b,104.1,6909.5
1786146947.5,query_b,105.1,6907.4
1786146949.5,query_b,105.0,6905.2
1786146951.5,query_b,105.0,6903.1
1786146953.5,query_b,104.5,6904.2
1786146955.6,query_b,104.8,6903.1
1786146957.6,query_b,104.4,6904.2
1786146959.6,query_b,104.7,6539.1
1786146961.6,query_b,328.7,5377.3
1786146963.6,query_b,126.8,5512.6
1786146965.7,query_b,132.9,5738.1
1786146967.7,query_b,122.7,5614.6
1786146969.7,query_b,128.5,5691.9
1786146971.7,query_b,491.9,5578.1
1786146973.7,query_b,127.2,5861.6
1786146975.8,burst,280.0,4744.9
1786146977.8,burst,103.9,5411.7
1786146979.8,burst,103.2,5440.6
1786146981.8,storage,285.6,5723.0
1786146983.9,storage,102.0,6706.6
1786146985.9,storage,101.8,6690.5
1786146987.9,storage,102.0,6635.7
1786146989.9,storage,102.0,6637.9
1786146991.9,storage,102.5,6619.6
1786146994.0,storage,101.8,6618.5
