unix_ts,phase,cpu_pct,mem_mb
1786263009.7,baseline,0.0,6.2
1786263011.8,baseline,0.0,6.2
1786263013.8,baseline,0.0,6.2
1786263015.9,ingest,110.2,132.4
1786263017.9,ingest,114.5,240.2
1786263019.9,ingest,206.8,632.2
1786263022.2,hosts,35.5,550.3
1786263024.0,query_a,144.3,1380.8
1786263026.1,query_a,162.9,2448.1
1786263028.1,query_a,170.1,2759.5
1786263030.1,settle,133.4,2835.8
1786263032.1,settle,0.0,2834.7
1786263034.2,settle,0.0,2833.6
1786263036.3,settle,0.0,2833.6
1786263038.3,settle,1.4,2833.6
