unix_ts,phase,cpu_pct,mem_mb
1786218617.6,baseline,0.9,3891.2
1786218619.7,baseline,0.0,3890.2
1786218621.7,baseline,0.0,3890.2
1786218623.7,burst,100.3,4226.2
1786218625.7,settle,1808.0,4284.2
1786218627.7,settle,0.0,4284.2
1786218629.8,settle,4.7,4302.5
1786218631.8,settle,0.0,4302.5
1786218633.8,settle,0.1,4302.5
