unix_ts,phase,cpu_pct,mem_mb
1786272544.0,baseline,0.0,6.2
1786272546.0,baseline,0.0,6.2
1786272548.0,baseline,0.0,6.2
1786272550.0,ingest,114.7,159.8
1786272552.1,ingest,112.1,276.5
1786272554.2,ingest,210.9,722.3
1786272556.2,hosts,55.3,461.6
1786272558.2,query_a,141.6,1629.9
1786272560.2,query_a,137.4,1881.2
1786272562.3,query_a,157.1,2271.0
1786272564.4,storage,187.9,2290.3
1786272566.4,settle,0.0,2327.9
1786272568.4,settle,0.0,2327.9
1786272570.4,settle,0.0,2327.9
1786272572.5,settle,5.8,2326.8
1786272574.6,settle,0.0,2326.8
