unix_ts,phase,cpu_pct,mem_mb
1786252953.6,baseline,0.0,6.2
1786252955.6,baseline,0.0,6.2
1786252957.6,ingest,12.9,56.2
1786252959.7,ingest,106.6,195.3
1786252961.8,ingest,166.7,666.1
1786252963.9,hosts,182.1,473.3
1786252965.9,query_a,142.1,793.9
1786252968.0,query_a,159.8,1765.2
1786252970.0,query_a,160.2,2246.3
1786252972.0,query_b,450.9,2718.7
1786252974.1,settle,5.4,2548.0
1786252976.1,settle,0.0,2546.9
1786252978.2,settle,0.0,2546.9
1786252980.2,settle,0.0,2546.9
1786252982.2,settle,7.5,2548.0
